Android development meetup / События на TimePad.ru,"Мы приглашаем всех заинтересованных на митап, организуемый нами совместно с GDG Kazan. В программе &#151; доклады по Андроиду, немного опыта из первых рук о разработке под React Native и разбора текста с помощью машинного обучения и Tensor Flow для расширения кругозора.",29.09.2018,13:00 - 16:00,"Камала, 41 Центр Развития Талантов",https://abct.timepad.ru/event/814302/
GameDev in Kazan 2020,Не мыслишь своей жизни без компьютерных игр и их разработки? Тогда приглашаем тебя на II крупнейшую региональную конференцию GameDev in Kazan 2020 на территории Казанского федерального университета!,29.02.2020,9:00 - 19:00,"Казань Улица Кремлевская, д. 35, второй корпус КФУ",https://lim.timepad.ru/event/1096587/
MERA meetup Kazan: Machine Learning / События на TimePad.ru,"Последнее время в MERA появляется все больше проектов, где применяется машинное обучение. Это позволяет за небольшой срок получить практические знания в самых разных областях: обработка изображений и видео, NLP и чатботы, анализ временных рядов и т.д. Для дальнейшего развития направления внутри компании мы создали сообщество, где увлеченные сотрудники обмениваются опытом, работают над внутренними и внешними проектами. О наших кейсах мы расскажем на митапе в Казани.",8.08.2019,18:00 - 21:00,"Телеграф Space, ул. Пушкина, 54/1, 3 этаж",https://mera-company.timepad.ru/event/1019666/
"Курс ""Кодвардс"" для школьников (7-12 лет) / События на TimePad.ru",Кодвардс знакомит детей с основами программирования. Уроки проводятся в игровой форме с выполнением физических и компьютерных заданий. Курс дает базовые принципы написания кода для любого языка программирования,с 17:00 2020,14 - 2019,"Петербургская, д. 52",https://it-park-events.timepad.ru/event/803081/
Хакатон 2019.1: урбанистика Казани / События на TimePad.ru,"Хакатон посвятим Урбанистике. Будем думать, как улучшить жизнь горожан, и сделать городскую среду более удобной. И не просто думать, а предлагать и разрабатывать реальные программы. За сутки участникам предстоит запилить приложение, игру, да что угодно, лишь бы была польза городу и его жителям. Идея может быть любой: от сервиса, который показывает ближайшее веганское кафе и пункт приема батареек, до игры с логистикой светофора и автомобильного движения.",с 10:00 2020,19 - 2019,"Баумана, 70",https://eventskbkontur.timepad.ru/event/955085/
Летний интенсив SimbirSoft для IT-специалистов Казани / События на TimePad.ru,"Участников ждут две насыщенные недели: мастер-классы и лекции от экспертов, мозговые штурмы, командная разработка и готовый IT-продукт на выходе. Студентам IT-специальностей засчитывается прохождение производственной практики.",с 18:00 2020,30 - 2019,"пр. Хусаина Ямашева, дом 33",https://simbirsoft-events.timepad.ru/event/988079/
Go Meetup April / События на TimePad.ru,"Встреча Go разработчиков, на которой будет целых три доклада для начинающего-среднего уровня! Опытных участников призываем дать хороший feedback участвующим докладчикам.",28.04.2019,19:00 - 21:00,Петербургская 52,https://golang-tatarstan.timepad.ru/event/956642/
Inno Tech Talks / События на TimePad.ru,"15 марта состоится первый митап Inno Tech Talks. Докладчики расскажут о внутреннем устройстве .NET-фреймворка, создании эффективных DSL и лучших практиках построения надёжных распределённых систем под высокой нагрузкой на платформе .NET.",15.03.2018,19:00 - 21:30,"Университетская, 7",https://eventskbkontur.timepad.ru/event/679775/
"Тимлид-завтрак ""Удаленная команда. Начало""","Встреча для тимлидов, менеджеров разработки, СТО &#151; всех тех, кто по полгода не может найти разработчика, кто на грани факапа, и кто созрел взять первого сотрудника на удаленке или отдать часть работ на аутсорс.",2.10.2019,9:00 - 11:00,"Казань Баумана 60 IQ - интеллект-бар, зал на 2 этаже",https://it-people.timepad.ru/event/1073214/
"Демо-урок ""Кодвардс+Minecraft"" для школьников (8+)","Можно ли заинтересовать ребенка программированием? Можно, если применять игровой подход к обучению. Курс дает базовые знания и включает в себя актуальные направления: программирование в среде Кодвардс и на языке Lua в среде Minecraft. Уроки проводятся в игровой форме с выполнением интеллектуальных, увлекательных дидактических и компьютерных заданий. Что развивает курс? Творческие способности, логическое мышление и уверенность в использовании информационных технологий. После прохождения курса ваш ребенок научится решать логические задачи, сможет запрограммировать и построить дом в мире Minecraft и поймет, что программирование это весело и интересно.",8.09.2019,10:30 - 11:30,"Казань Петербургская, д. 52",https://it-park-events.timepad.ru/event/1049263/
Демо-урок «Кодвардс» (7-12 лет) / События на TimePad.ru,Кодвардс знакомит детей с основами программирования. Уроки проводятся в игровой форме с выполнением физических и компьютерных заданий. Курс дает базовые принципы написания кода для любого языка программирования,27.09.2018,16:30 - 17:30,"Петербургская, 52",https://it-park-events.timepad.ru/event/815228/
MERA meetup #33: Vulnerability and Errors in C++ / События на TimePad.ru,Продолжаем исследовать различные аспекты разработки на С/С++. На этот раз поговорим о недочётах этих языков программирования. Как избежать уязвимости при использовании С? Какие ошибки типичны для С++? Как их предотвратить?,17.05.2019,17:45 - 21:00,"Штаб, ул. Татарстан, 20А.",https://mera-company.timepad.ru/event/956699/
День открытых дверей в ИТИС / События на TimePad.ru,"Приемная кампания все ближе, и вопросов о поступлении в ИТИС становится большей. Приглашаем абитуриентов и их родителей на встречу с представителями ИТИС",30.03.2020,начало - 14:00,"Кремлевская, 35, ауд. 1310-1311, 13 этаж",https://itiskfu.timepad.ru/event/930407/
Бесплатный мастер-класс по Sketch / События на TimePad.ru,"Друзья, у нас будет бесплатный мастер-класс по Sketch. Он прост в использовании и быстр в изучении, но иногда бывает сложно начать изучать программу с чистого листа. Наше событие хороший момент, чтобы это сделать.",13.02.2019,19:00 - 21:00,"Пушкина 54, Телеграф Space",https://productorium.timepad.ru/event/900492/
Программирование на C# для школьников / События на TimePad.ru,IT-курсы для школьников в Высшей школе ИТИС КФУ по направлению &quot;Программирование на C#&quot;,с 16:00 2020,12 - 2018,"ул. Кремлёвская, д.35",https://itiskfu.timepad.ru/event/433247/
Travel IT MeetUp / События на TimePad.ru,"Уже в эту пятницу пройдет «Travel IT Meetup», где мы соберём единомышленников в области использования, разработки и внедрения IT-технологий в туризм, а так же рассмотрим главные тренды на стыке Travel и IT. Вы сможете услышать не только выступления руководителей IT-компаний, разработчиков и экспертов в этой сфере, но и задать интересующие вас вопросы, приобрести опыт и полезные знакомства!",21.12.2018,18:00 - 20:00,"Резиденция креативных индустрий ""Штаб"" ул. Татарстан, 20А",https://betrip.timepad.ru/event/875951/
"Презентация курса ""FULL STACK"" / События на TimePad.ru","ИТ-Академия объявляет набор на расширенный курс для тех, кому интересно направление full stack разработки!",8.08.2017,18:00 - 19:00,Машиностроителей 91,https://it-park.timepad.ru/event/549875/
Введение в программирование на Java для взрослых / События на TimePad.ru,Профессиональные курсы для взрослых &quot;Введение в программирование на Java&quot;,с 11:00 2020,16 - 2019,"ул. Кремлёвская, д.35",https://itiskfu.timepad.ru/event/433598/
"C++ User Group, встреча в Казани / События на TimePad.ru","C++ User Group Meeting — встреча, организованная сообществом C++ User Group при поддержке университета Иннополис и компании Яндекс. Это мероприятие — возможность общения для разработчиков, пишущих на C++, где можно поговорить именно о C++ и связанных вопросах. Регистрация докладов продолжается.",28.05.2016,11:30 - 15:00,Университетская д.1,https://c-user-group-russia.timepad.ru/event/328752/
Демофест HackDay #42 в Иннополисе / События на TimePad.ru,"Демонстрация прототипов проектов, разработанных на HackDay #42 в Иннополисе.",1.05.2016,17:30 - 20:00,"ул. Университетская, д.1",https://hackday.timepad.ru/event/325096/
Late Night Productorium / События на TimePad.ru,"Late Night Productorium — ночное мероприятие, где будет только правда о работе дизайнера.",25.01.2019,20:00 - 23:00,"Пушкина 54, Телеграф Space",https://productorium.timepad.ru/event/884780/
"C++ User Group, встреча в Казани / События на TimePad.ru","C++ User Group Meeting — встреча, организованная сообществом C++ User Group при поддержке университета Иннополис и компании Яндекс. Это мероприятие — возможность общения для разработчиков, пишущих на C++, где можно поговорить именно о C++ и связанных вопросах. Регистрация докладов продолжается.",3.06.2017,11:30 - 16:00,"Иннополис, Университетская д.1",https://c-user-group-russia.timepad.ru/event/481158/
Презентация нового курса SEO / События на TimePad.ru,ИТ-Академия приглашает будущих слушателей курса &quot; Основы СЕО&quot; на бесплатную презентацию курса.,с 18:00 2020,18 - 2017,ул. Машиностроительная. 91,https://it-park.timepad.ru/event/613798/
"Вторая сессия IT HR MeetUp, Иннополис / События на TimePad.ru",IT HR MeetUp &#151; отличная возможность обменяться опытом с ведущими HR специалистами в области IT рекрутинга,20.05.2016,13:00 - 19:00,Университетская 1,https://innopolis.timepad.ru/event/325425/
Как получить кратный рост в стартапе - воркшоп Шамиля Хамадеева / События на TimePad.ru,"Бизнес строится не на банальном везении, а на конкретных цифрах. И тот, кто умеет считать метрики и способен принимать быстрые решения на их основе, может расчитывать на рост и масштабирование. Чтобы правильно рассчитать экономику продукта, предлагаем вам посетить мастер-класс Шамиля Хамадеева. Он состоится в Бизнес-инкубаторе ИТ-парка Набережных Челнов 28 сентября.",28.09.2017,15:00 - 16:00,"Машинстроительная, 91",https://it-park.timepad.ru/event/579750/
ИТ-конференция InTech / События на TimePad.ru,"Компания «Сбербанк-Технологии» проведет конференцию и серию хакатонов с общим призовым фондом 1,4 млн рублей!",с 10:00 2020,20 - 2016,"ул. Университетская, 7",https://sberbank-t.timepad.ru/event/400168/
Курсы для школьников по С++ / События на TimePad.ru,"В рамках курса будут изучены основы языка C++, его объектно ориентированная часть, управление памятью также будут рассмотрены примеры использования графических фреймворков и библиотек.",с 0:00 2020,29 - 2018,"Кремлевская, 35",https://itiskfu.timepad.ru/event/804555/
"Второй геоинформационный хакатон ""Гадание на картах"" / События на TimePad.ru","Хакатон “Гадание на картах” – насыщенные два дня, посвященные одному из самых перспективных направлений &#151; геоинформационные технологии.",с 10:00 2020,20 - 2018,"г. Иннополис, Университетская, 1",https://innopolis-university.timepad.ru/event/704770/
Программирование на JavaScript / События на TimePad.ru,Открыт новый набор на курс JavaScript. Всех желающих приглашаем на презентацию курса 16 мая.,с 18:00 2020,20 - 2017,"ул. Машиностроительная, 91.",https://it-park.timepad.ru/event/490117/
Особенности работы венчурного инвестора со стартапом - мастер-класс управляющего партнера фонда Starta Capital / События на TimePad.ru,"Основатель бизнеса и инвестор &#151; это два человека, которые очень связаны в предпринимательской среде. Сначала они ищут друг друга, потом оценивают, договариваются, еще договариваются, объявляют о сделке и потом еще очень долго работают в тесной связке. Предлагаем разобрать все сценарии их взаимоотношений &#151; от поиска друг друга до выхода из компании. Приглашаем вас в Бизнес-инкубатор ИТ-парка на встречу с управляющим партнером фонда Starta Capital Сергеем Васильевым.",2.12.2017,16:40 - 17:30,"Машиностроительная, 91",https://it-park.timepad.ru/event/610412/
Blockchain meetup InspiRussia / События на TimePad.ru,"18 августа InspiRussia приглашает всех интересующихся горячей темой blockchain собраться и обсудить текущие тенденции и события в Иннополисе, России и мире.",18.08.2017,15:00 - 19:00,"ул. Университетская 7, вход ""Камень"", 4 этаж, офис 403-2, InspiRussia",https://inspirussia.timepad.ru/event/552337/
"Хакатон ""Гадание на картах"" / События на TimePad.ru","Хакатон “Гадание на картах” – насыщенные два дня, посвященные одному из самых перспективных направлений &#151; геоинформационные технологии.",с 9:00 2020,4 - 2018,"город Иннополис, Университетская, д. 1",https://innopolis-university.timepad.ru/event/662527/
InspiRussia Хакатон by Life.SREDA / События на TimePad.ru,"17-18 сентября на площадке топового ИТ ВУЗа страны — Иннополис — пройдёт первый в России InspiRussia Хакатон, посвященный созданию новых продуктов в blockchain и Fintech-индустрии на основе современных IT-решений. Участие бесплатное, возможно как оффлайн, так и в online-формате. Организатор мероприятия — венчурный фонд Life.SREDA.",с 10:00 2020,18 - 2016,"г. Иннополис, Университетская, 1",https://inspirussia.timepad.ru/event/356591/
Отбор проектов в Бизнес-инкубатор ИТ-парка Набережных Челнов / События на TimePad.ru,16 и 17 сентября 2017 года в ИТ-парке Набережных Челнов пройдет 26-й отбор в Бизнес-инкубатор. Для подачи заявки нужно до 10 сентября 2017 года заполнить форму на сайте отбора.,с 11:00 2020,17 - 2017,"Машиностроительная, 91",https://it-park.timepad.ru/event/551523/
"Новый курс ИТ-Академии ""WEB-Дизайн"" / События на TimePad.ru","Курс Веб-дизайна в ИТ-академии &#151; это первый шаг на пути становления и развития бизнеса, это один из главных видов коммуникативных связей и средств передачи информации на сегодняшний день.",с 18:00 2020,8 - 2017,"ул. Машиностроительная, 91",https://it-park.timepad.ru/event/568978/
AKSES:An Empirical Study on the Requirements Engineering Practices for Agile Software Development / События на TimePad.ru,"Collecting, understanding, and managing requirements are critical aspects in all development methods including agile methods as well. Nevertheless, little contemporary data exists for document actual practices of software professionals for software requirements engineering activities in agile environments.",2.02.2016,17:00 - 18:00,"ул.Университетская д.1, аудитория 307",https://innopolis-university.timepad.ru/event/286971/
Презентация курса WEB-разработка для школьников / События на TimePad.ru,Учебный год в самом разгаре и ИТ-Академия не перестает запускать все новые и новые курсы. 13 октября мы запускам курс &quot;WEB-разработка для школьников&quot;!!,13.10.2017,18:00 - 20:00,ул. Машиностроительная. 91,https://it-park.timepad.ru/event/592148/
"Неконференция ""История успеха: тренды, проблемы, идеи"" / События на TimePad.ru",25 августа ИТ-парк в Набережных Челнах отпразднует своё 5-летие. В честь праздника мы подготовили для резидентов и всех наших гостей много сюрпризов. Один из них &#151; встреча с успешными предпринимателями &#151; владельцем самого крупного в России регионального автохолдинга &quot;ТрансТехСервис&quot; и генеральным директором успешной российской ИТ-компании Барс Груп Тимуром Ахмеровым.,25.08.2017,14:30 - 15:30,"Машиностроительная, 91",https://it-park.timepad.ru/event/559845/
Открытые лекции от МЦСТ Эльбрус / События на TimePad.ru,Представители компании проведут серию открытых лекций в Университете Иннополис.,25.05.2016,11:00 - 13:30,Университетская 1,https://innopolis.timepad.ru/event/332475/
InnoCTF - 2017 / События на TimePad.ru,"Ежегодные командные студенческие соревнования по информационной безопасности в городе Иннополис, Республика Татарстан",5.11.2017,10:00 - 20:00,"Университетская, 1",https://aciso.timepad.ru/event/580147/
День Рождения ИТ-Парк / События на TimePad.ru,"25 августа 2017 года приглашаем Вас на торжественное празднование Дня Рождения второй площадки Технопарка в сфере высоких технологий “ИТ-парк”. Нам исполняется 5 лет! Важную дату и первый юбилей ИТ-парка в Набережных Челнах мы будем отмечать по-настоящему технологично, познавательно, интерактивно и весело!",25.08.2017,13:00 - 18:00,"ул. Машиностроительная, 91",https://it-park.timepad.ru/event/546594/
Продукториум №2 / События на TimePad.ru,"Вторая профессиональная мини-конференция, посвященную вопросам продуктового и сервисного дизайна. Мероприятие пройдет в Иннополисе 4 февраля. Ехать от Казани туда 40 минут, будет большое количество автобусов, поэтому приехать и уехать можно будет в любой момент. Для всех желающих будет проведена экскурсия по Иннополису.",4.02.2017,12:00 - 19:00,,https://productorium.timepad.ru/event/425745/
"06 октября, Лекция Бенджамина Браттона ""Новая норма"" / События на TimePad.ru","Американский социолог Бенджамин Браттон проведет лекцию на тему &quot;Машинный интеллект в масштабах города, спекулятивные суперсооружения и другие аспекты атропоцена&quot;",6.10.2016,17:15 - 19:00,Университетская 1,https://innopolis.timepad.ru/event/382982/
смена IlAND для детей / События на TimePad.ru,Новая смена IlAND для детей от 7 до 14 лет,с 0:00 2020,18 - 2017,Машиностроителей 91,https://it-park.timepad.ru/event/552228/
AI is new UI. Как меняется пользовательский опыт цифровых продуктов / События на TimePad.ru,"Руководитель направления развития перспективных продуктов “Ак Барс Цифровые Технологии” Ярослав Шуваев расскажет, как создавать сервисы, понимающие потребности человека с полуслова и покажет примеры внедрения AI и ML для решения UX задач. Приглашаем в Бизнес-инкубатор ИТ-парка 2 декабря.",2.12.2017,14:30 - 15:50,"Машиностроительная, 91",https://it-park.timepad.ru/event/613005/
Fintech Victory Day в Иннополисе (главное о настоящем и будущем финансовых технологий) / События на TimePad.ru,"Мировые инвестиции в финтех в 2016 году впервые не выросли. Почему? Капитализации одних финтех- единорогов* растут на 30-40% в год, другие &#151; перестают ими быть. Почему?",15.05.2017,14:30 - 18:00,"Технопарк им. Попова, Университетская 7, Зона ""Камень"", офис 403-2, 4 этаж (как пройти - телефоны организаторов ниже)",https://inspirussia.timepad.ru/event/485012/
Как НЕ попасть в СМИ и оказаться в черном списке у журналистов - мастер-класс главного редактора Rusbase / События на TimePad.ru,"По мнению основателей бизнеса, новость об их продукте &#151; это волшебное зернышко. И если его забросить в СМИ, можно обогатиться и радоваться потоку клиентов. Но это не так. Не всегда PR так нужен, и тем более, он не приведет к вам за ручку платящего пользователя. Предлагаем разобраться в тонкостях общения бизнеса и журналистов на мастер-классе в ИТ-парке Набережных Челнов.",2.12.2017,16:00 - 16:40,"Машиностротельная, 91",https://it-park.timepad.ru/event/610351/
"12 октября, встреча с генеральным директором АО «Лаборатория Касперского» / События на TimePad.ru",Отличная возможность задать Евгению Касперскому интересующие вопросы по кибербезопасности,12.10.2016,12:00 - 13:30,"Университетская, 1",https://innopolis.timepad.ru/event/386629/
25 отбор резидентов в Бизнес-инкубатор ИТ-парка / События на TimePad.ru,"3-4 июня в ИТ-парке пройдет 25-й отбор резидентов в Бизнес-инкубатор ИТ-парка Набережных Челнов. На этот раз выбирать проекты будут выпускники Бизнес-инкубатора. У нас накопилось немало очень крутых историй успеха &#151; это стартапы, которые вышли на окупаемость и пробились на российские и международные рынки. Теперь они сами ищут интересные стартапы для партнерства и инвестирования. Ваш проект может оказаться в их числе.",с 11:00 2020,4 - 2017,"Машиностроительная, 91",https://it-park.timepad.ru/event/489412/
Fintech-workshop InspiRussia by Life.SREDA / События на TimePad.ru,Fintech-workshop InspiRussia by Life.SREDA,2.09.2016,13:00 - 17:00,"Иннополис, Университетская, 1",https://inspirussia.timepad.ru/event/360921/
Customer Development: изучаем клиента вашего стартапа и подтверждаем проблему. / События на TimePad.ru,"При запуске нового продукта, команда проекта обычно уделяет неоправданно много времени на разработку и дизайн. И забывает о реальных потребностях своих потенциальных потребителей. Чтобы продукт оказался востребованным, нужно проводить Customer Development. Как это делать, расскажет Фаем Ахметзянов, ведущий проектный менеджер Бизнес-инкубатора ИТ-парка.",28.09.2017,13:30 - 15:00,"Машиностроительная, 91",https://it-park.timepad.ru/event/579764/
"Защита проектов слушателей курса ""Программирование на C#"" / События на TimePad.ru",ИТ-Академия завершает курс &quot;Программирование на С#&quot; и приглашает резидентов ИТ-Парка и заинтересованных работодателей на защиту финальных проектов наших выпускников.,5.12.2017,18:00 - 19:00,"ул. Машиностроительная, 91",https://it-park.timepad.ru/event/626867/
"17 ноября, трансляция лекции от Acronis / События на TimePad.ru","Трансляция Public Talk с Даниилом Квятом, единственным российским гонщиком Формулы 1, пилотом Scuderia Toro Rosso, Сергеем Белоусовым, основателем и СЕО Acronis и Станиславом Протасовым, сооснователем и главой разработки Acronis",17.11.2016,18:00 - 19:30,Университетская 1,https://innopolis.timepad.ru/event/405413/
